ID,Title,Description,Market,Technology,Counterparties,Impact,Likelihood,Rating,Created,LastModified
3a14b7c1-07c5-48c8-b015-fdc25e4edb8e,Asia Expansion 2024,Analysis report for Asian markets,Tokyo AI,Artificial Intelligence,"['Tech Nexus Ltd.', 'Innovate Corp.']",30,60,1800,2024-07-22 11:00:00.024217+00:00,2024-07-22 11:00:00.024221+00:00
d75e28f3-4ab2-493a-a6a3-6e927fbe5b76,North America Growth Plan 2024,Market growth analysis,New York Blockchain,Blockchain,"['NextGen Solutions', 'Blockchain Ventures']",25,65,1625,2024-07-22 11:15:00.024217+00:00,2024-07-22 11:15:00.024221+00:00
5c49d7e2-bef6-4b88-bd7e-3c1df3f9678a,South America Insights 2024,Overview of market opportunities,Buenos Aires IoT,Internet of Things,"['Smart Tech Ltd.', 'Global IoT Inc.']",18,55,990,2024-07-22 11:30:00.024217+00:00,2024-07-22 11:30:00.024221+00:00
8b7f12c0-6b9e-42c7-88e2-174d1b897c7f,Africa Market Analysis 2024,Assessment of growth prospects,Nairobi Renewable,Renewable Energy,"['Energy Horizon', 'EcoFuture Ltd.']",22,50,1100,2024-07-22 11:45:00.024217+00:00,2024-07-22 11:45:00.024221+00:00
2f3d5e8c-25c6-4e1b-baf7-8c8f6e5d7a1d,Australia Strategy 2024,Strategy for Australian market,Sydney 5G,5G Networks,"['Aussie Telecom', 'FutureNet Inc.']",27,62,1674,2024-07-22 12:00:00.024217+00:00,2024-07-22 12:00:00.024221+00:00
c47e2d3f-52d6-47d3-9a42-234e39f83f1b,Middle East Overview 2024,Exploring market trends,Dubai Cybersecurity,Cybersecurity,"['SecureNet', 'MiddleEast Tech']",35,57,1995,2024-07-22 12:15:00.024217+00:00,2024-07-22 12:15:00.024221+00:00
a81d4f15-8f6e-4f66-84e2-4a7c9aeb04a0,Global Trends 2024,Comprehensive global market report,Global VR,Virtual Reality,"['VirtuTech', 'Global VR Inc.']",28,58,1624,2024-07-22 12:30:00.024217+00:00,2024-07-22 12:30:00.024221+00:00
b43d87e0-4d9c-438c-9f3a-bd11a946b5b7,UK Business Review 2024,Analysis of UK market trends,London AI,Artificial Intelligence,"['BritAI Ltd.', 'UK Tech Solutions']",23,63,1449,2024-07-22 12:45:00.024217+00:00,2024-07-22 12:45:00.024221+00:00
f84e7b5d-9b7c-4ef9-8c41-6b2f0cb1c1d4,Canada Market Trends 2024,Evaluating Canadian market opportunities,Toronto Renewable,Renewable Energy,"['EcoPower', 'CanEnergy Ltd.']",20,54,1080,2024-07-22 13:00:00.024217+00:00,2024-07-22 13:00:00.024221+00:00
e65f2a3b-7f22-45b6-8e54-b2fa4b7b23a0,India Growth Insights 2024,Market expansion analysis,Mumbai Blockchain,Blockchain,"['BlockTech Ltd.', 'India Blockchain Inc.']",32,67,2144,2024-07-22 13:15:00.024217+00:00,2024-07-22 13:15:00.024221+00:00
7f5e2c4a-6a4e-4d5e-baf3-4d542c2d42f8,Latin America Overview 2024,Review of market dynamics,Santiago IoT,Internet of Things,"['LatAm Smart', 'Innovate Tech']",26,56,1456,2024-07-22 13:30:00.024217+00:00,2024-07-22 13:30:00.024221+00:00
d92a8b23-5b93-4f73-81ec-d9b8a9bafe83,South Korea Analysis 2024,Evaluation of Korean market,Seoul 5G,5G Networks,"['Korea Telecom', 'Future5G Inc.']",24,61,1464,2024-07-22 13:45:00.024217+00:00,2024-07-22 13:45:00.024221+00:00
a7d8e2f9-7a29-4b3d-bd16-0c12a7d6e0d7,Saudi Arabia Trends 2024,Market trends and insights,Riyadh Cybersecurity,Cybersecurity,"['SecureSaudi Ltd.', 'Arabian Tech']",33,64,2112,2024-07-22 14:00:00.024217+00:00,2024-07-22 14:00:00.024221+00:00
8d2b7f6a-37d0-4c6d-bf56-c0c8f29d2a3b,Japan Market Review 2024,Analysis of Japanese market,Osaka AI,Artificial Intelligence,"['Japan AI Inc.', 'TechJapan Ltd.']",21,59,1239,2024-07-22 14:15:00.024217+00:00,2024-07-22 14:15:00.024221+00:00
5e4f7d8b-8e76-4db6-8f4d-d5b9e3a02e70,New Zealand Strategy 2024,Strategy for New Zealand market,Auckland Renewable,Renewable Energy,"['KiwiEnergy', 'GreenNZ Ltd.']",19,52,988,2024-07-22 14:30:00.024217+00:00,2024-07-22 14:30:00.024221+00:00
c6f7a2d3-3b0a-4d7a-9e3d-34b564e02e84,Turkey Insights 2024,Insights on Turkish market,Istanbul Blockchain,Blockchain,"['Turkish Tech', 'BlockTR Inc.']",29,58,1682,2024-07-22 14:45:00.024217+00:00,2024-07-22 14:45:00.024221+00:00
b53e7d8a-65c9-4c48-baf3-cd63e4b7b8a0,South Africa Trends 2024,Market trend assessment,Cape Town IoT,Internet of Things,"['SA Smart Tech', 'InnovateZA Ltd.']",31,62,1922,2024-07-22 15:00:00.024217+00:00,2024-07-22 15:00:00.024221+00:00
e84c9f3d-2b6e-4c7a-9a9e-123b4d3e8c3a,Philippines Market Review 2024,Analysis of market opportunities,Manila 5G,5G Networks,"['PhilNet', '5GPhilippines Inc.']",28,60,1680,2024-07-22 15:15:00.024217+00:00,2024-07-22 15:15:00.024221+00:00
